id,simbol,analitic,denumire,tip
,267,,Creante imobilizate,A
,2671,,Sume de incasat de la entitatile afiliate (A),A
,2672,,Dobânda aferenta sumelor de incasat de la entitati,A
,2673,,Creante fata de entitatile asociate si entitatile,A
,2674,,Dobânda aferenta creantelor fata de entitatile aso,A
,2675,,Imprumuturi acordate pe termen lung (A),A
,2676,,Dobânda aferenta imprumuturilor acordate pe termen,A
,2677,,Obligatiuni achizitionate cu ocazia emisiunilor ef,A
,2678,,Alte creante imobilizate (A),A
,2679,,Dobânzi aferente altor creante imobilizate (A),A
,269,,Varsaminte de efectuat pentru imobilizari financia,A
,2691,,Varsaminte de efectuat privind actiunile detinute,P
,2692,,Varsaminte de efectuat privind actiunile detinute,P
,2693,,Varsaminte de efectuat privind actiunile detinute,P
,2695,,Varsaminte de efectuat pentru alte imobilizari fin,P
,28,,Amortizari privind imobilizarile,A
,280,,Amortizari privind imobilizarile necorporale,P
,2801,,Amortizarea cheltuielilor de constituire (P),P
,2803,,Amortizarea cheltuielilor de dezvoltare (P),P
,2805,,"Amortizarea concesiunilor, brevetelor, licentelor,",P
,2806,,Amortizarea activelor necorporale de explorare si,P
,2807,,Amortizarea fondului comercial (P),P
,2808,,Amortizarea altor imobilizari necorporale (P),P
,281,,Amortizari privind imobilizarile corporale,P
,2811,,Amortizarea amenajarilor de terenuri (P),P
,2812,,Amortizarea constructiilor (P),P
,2813,,Amortizarea instalatiilor si mijloacelor de transp,P
,2814,,Amortizarea altor imobilizari corporale (P),P
,2815,,Amortizarea investitiilor imobiliare (P),P
,2816,,Amortizarea activelor corporale de explorare si ev,P
,2817,,Amortizarea activelor biologice productive (P),P
,29,,Ajustari pentru deprecierea sau pierderea de valoa,A
,290,,Ajustari pentru deprecierea imobilizarilor necorpo,A
,2903,,Ajustari pentru deprecierea cheltuielilor de dezvo,P
,2905,,"Ajustari pentru deprecierea concesiunilor, brevete",P
,2906,,Ajustari pentru deprecierea activelor necorporale,P
,2908,,Ajustari pentru deprecierea altor imobilizari neco,P
,291,,Ajustari pentru deprecierea imobilizarilor corpora,A
,2911,,Ajustari pentru deprecierea terenurilor si amenaja,P
,2912,,Ajustari pentru deprecierea constructiilor (P),P
,2913,,Ajustari pentru deprecierea instalatiilor si mijlo,P
,2914,,Ajustari pentru deprecierea altor imobilizari corp,P
,2915,,Ajustari pentru deprecierea investitiilor imobilia,P
,2916,,Ajustari pentru deprecierea activelor corporale de,P
,2917,,Ajustari pentru deprecierea activelor biologice pr,P
,293,,Ajustari pentru deprecierea imobilizarilor in curs,A
,2931,,Ajustari pentru deprecierea imobilizarilor corpora,P
,2935,,Ajustari pentru deprecierea investitiilor imobilia,P
,296,,Ajustari pentru pierderea de valoare a imobilizari,A
,2961,,Ajustari pentru pierderea de valoare a actiunilor,P
,2962,,Ajustari pentru pierderea de valoare a actiunilor,P
,2963,,Ajustari pentru pierderea de valoare a altor titlu,P
,2964,,Ajustari pentru pierderea de valoare a sumelor de,P
,2965,,Ajustari pentru pierderea de valoare a creantelor,P
,2966,,Ajustari pentru pierderea de valoare a imprumuturi,P
,2968,,Ajustari pentru pierderea de valoare a altor crean,P
,3,,Conturi de stocuri si productie in curs de executi,A
,30,,Stocuri de materii prime si materiale,A
,301,,Materii prime (A),A
,302,,Materiale consumabile,A
,3021,,Materiale auxiliare (A),A
,3022,,Combustibili (A),A
,3023,,Materiale pentru ambalat (A),A
,3024,,Piese de schimb (A),A
,3025,,Seminte si materiale de plantat (A),A
,3026,,Furaje (A),A
,3028,,Alte materiale consumabile (A),A
,303,,Materiale de natura obiectelor de inventar (A),A
,308,,Diferente de pret la materii prime si materiale (A,B
,32,,Stocuri in curs de aprovizionare,A
,321,,Materii prime in curs de aprovizionare (A),A
,322,,Materiale consumabile in curs de aprovizionare (A),A
,323,,Materiale de natura obiectelor de inventar in curs,A
,326,,Active biologice de natura stocurilor in curs de a,A
,327,,Marfuri in curs de aprovizionare (A),A
,328,,Ambalaje in curs de aprovizionare (A),A
,33,,Productie in curs de executie,A
,331,,Produse in curs de executie (A),A
,332,,Servicii in curs de executie (A),A
,34,,PRODUSE,A
,341,,Semifabricate (A),A
,345,,Produse finite (A),A
,346,,Produse reziduale (A),A
,347,,Produse agricole (A),A
,348,,Diferente de pret la produse (A/P),B
,35,,STOCURI AFLATE LA TERTI,A
,351,,Materii si materiale aflate la terti (A),A
,354,,Produse aflate la terti (A),A
,356,,Active biologice de natura stocurilor aflate la te,A
,357,,Marfuri aflate la terti (A),A
,358,,Ambalaje aflate la terti (A),A
,36,,Active biologice de natura stocurilor,A
,361,,Active biologice de natura stocurilor (A),A
,368,,Diferente de pret la active biologice de natura st,B
,37,,MaRFURI,A
,371,,Marfuri (A),A
,378,,Diferente de pret la marfuri (A/P),B
,38,,Ambalaje,A
,381,,Ambalaje (A),A
,388,,Diferente de pret la ambalaje (A/P),B
,39,,Ajustari pentru deprecierea stocurilor si producti,A
,391,,Ajustari pentru deprecierea materiilor prime (P),P
,392,,Ajustari pentru deprecierea materialelor,A
,3921,,Ajustari pentru deprecierea materialelor consumabi,P
,3922,,Ajustari pentru deprecierea materialelor de natura,P
,393,,Ajustari pentru deprecierea productiei in curs de,P
,394,,Ajustari pentru deprecierea produselor,A
,3941,,Ajustari pentru deprecierea semifabricatelor (P),P
,3945,,Ajustari pentru deprecierea produselor finite (P),P
,3946,,Ajustari pentru deprecierea produselor reziduale (,P
,3947,,Ajustari pentru deprecierea produselor agricole (P,P
,395,,Ajustari pentru deprecierea stocurilor aflate la t,A
,3951,,Ajustari pentru deprecierea materiilor si material,P
,3952,,Ajustari pentru deprecierea semifabricatelor aflat,P
,3953,,Ajustari pentru deprecierea produselor finite afla,P
,3954,,Ajustari pentru deprecierea produselor reziduale a,P
,3955,,Ajustari pentru deprecierea produselor agricole af,P
,3956,,Ajustari pentru deprecierea activelor biologice de,P
,3957,,Ajustari pentru deprecierea marfurilor aflate la t,P
,3958,,Ajustari pentru deprecierea ambalajelor aflate la,P
,396,,Ajustari pentru deprecierea activelor biologice de,P
,397,,Ajustari pentru deprecierea marfurilor (P),P
,398,,Ajustari pentru deprecierea ambalajelor (P),P
,4,,Conturi de terti,P
,40,,Furnizori si conturi asimilate,P
,401,,Furnizori (P),P
,403,,Efecte de platit (P),P
,404,,Furnizori de imobilizari (P),P
,405,,Efecte de platit pentru imobilizari (P),P
,408,,Furnizori - facturi nesosite (P),P
,409,,Furnizori - debitori,A
,4091,,Furnizori - debitori pentru cumparari de bunuri de,A
,4092,,Furnizori - debitori pentru prestari de servicii (,A
,4093,,Avansuri acordate pentru imobilizari corporale (A),A
,4094,,Avansuri acordate pentru imobilizari necorporale (,A
,41,,Clienti si conturi asimilate,A
,411,,Clienti,A
,4111,,Clienti (A),A
,4118,,Clienti incerti sau in litigiu (A),A
,413,,Efecte de primit de la clienti (A),A
,418,,Clienti - facturi de intocmit (A),A
,419,,Clienti - creditori (P),P
,419.01,,IOANA CRISTINA MARIN,P
,42,,Personal si conturi asimilate,P
,421,,Personal - salarii datorate (P),P
,423,,Personal - ajutoare materiale datorate (P),P
,424,,Prime reprezentând participarea personalului la pr,P
,425,,Avansuri acordate personalului (A),A
,426,,Drepturi de personal neridicate (P),P
,427,,Retineri din salarii datorate tertilor (P),P
,428,,Alte datorii si creante in legatura cu personalul,P
,4281,,Alte datorii in legatura cu personalul (P),P
,4282,,Alte creante in legatura cu personalul (A),A
,43,,"Asigurari sociale, protectia sociala si conturi as",P
,431,,Asigurari sociale,P
,4311,,Contributia unitatii la asigurarile sociale (P),P
,4311.01,,Contributia unitatii la asigurarile sociale (p),P
,4311.02,,Fond de risc si accident,B
,4312,,Contributia personalului la asigurarile sociale (P,P
,4313,,Contributia angajatorului pentru asigurarile socia,B
,4313.01,,Contributia angajatorului pentru asigurarile socia,B
,4313.02,,Contributii sanatate din FNUASS,B
,4313.03,,Contributii pentru concedii medicale,B
,4314,,Contributia angajatilor pentru asigurarile sociale,P
,4315,,Contributia de asigurari sociale (P),P
,4316,,Contributia de asigurari sociale de sanatate (P),P
,436,,Contributia asiguratorie pentru munca (P),P
,437,,Ajutor de somaj,P
,4371,,Contributia unitatii la fondul de somaj (P),P
,4372,,Contributia personalului la fondul de somaj (P),P
,4373,,Fond de garantare salarii,B
,438,,Alte datorii si creante sociale,P
,4381,,Alte datorii sociale (P),P
,4382,,Alte creante sociale (A),A
,44,,"Bugetul statului, fonduri speciale si conturi asim",P
,441,,Impozitul pe profit/venit,P
,4411,,Impozitul pe profit (P),B
,4411.01,,Impozit pe profit curent,B
,4411.02,,Impozit pe profit_esalonare,P
,4415,,Impozitul specific unor activitati (P),P
,4418,,Impozitul pe venit (P),B
,442,,Taxa pe valoarea adaugata,P
,4423,,TVA de plata (P),P
,4424,,TVA de recuperat (A),A
,4426,,TVA deductibila (A),A
,4427,,TVA colectata (P),P
,4428,,TVA neexigibila (A/P),B
,4428A,,TVA neexigibila la achizitii,A
,4428L,,TVA neexigibila la livrari,P
,444,,Impozitul pe venituri de natura salariilor (P),P
,445,,Subventii,A
,4451,,Subventii guvernamentale (A),A
,4452,,Imprumuturi nerambursabile cu caracter de subventi,A
,4458,,Alte sume primite cu caracter de subventii (A),A
,446,,"Alte impozite, taxe si varsaminte asimilate (P)",B
,446.01,,Taxa reclama publicitara,B
,446.02,,Impozit pe dividende,B
,446.03,,Impozit pe cladiri,B
,446.04,,Taxa pe teren proprietate de stat,B
,446.05,,Taxa pentru mijloace de transport,B
,446.06,,Impozit pe teren,B
,446.07,,Impozit pe venit obt.in Romania de nerezidenti,B
,446.08,,IMPOZIT EXPLOATARE FORESTIERA,P
,446.09,,ACCIZE LA LIVRARI,P
,446.10,,ACCIZE,P
,446.11,,TAXE VAMALE,P
,446.12,,COMISION VAMAL,P
,446.13,,ALTE CHELT. VAMALE,P
,446.14,,TVA IN VAMA,P
,446.15,,Impozit pe veniturile nerezidentilor,P
,446.16,,TVA DE RECUP DIN UE DKV,B
,446.20,,IMPOZIT ALTE VENITURI,P
,446.21,,Impozit venituri din cedarea folosintei bunurilor,P
,447,,Fonduri speciale - taxe si varsaminte asimilate (P,B
,447.05,,Comision camera de munca,B
,447.06,,Fond de garantare creante salariale,P
,447.07,,Fond pers.cu handicap neangajate,B
,447.08,,FOND DE MEDIU,P
,447.09,,IMPOZIT CU RETINERE LA SURSA,P
,447.10,,COTA ACHIZITII AGRICOLE,P
,448,,Alte datorii si creante cu bugetul statului,P
,4481,,Alte datorii fata de bugetul statului (P),P
,4482,,Alte creante privind bugetul statului (A),A
,45,,Grup si actionari/asociati,P
,451,,Decontari intre entitatile afiliate,P
,4511,,Decontari intre entitatile afiliate (A/P),B
,4511.01,,Decontari intre entitatile afiliate - furnizori,S
,4511.02,,Decontari intre entitatile afiliate - clienti,S
,4518,,Dobânzi aferente decontarilor intre entitatile afi,B
,453,,Decontari cu entitatile asociate si entitatile con,P
,4531,,Decontari cu entitatile asociate si entitatile con,B
,4538,,Dobânzi aferente decontarilor cu entitatile asocia,B
,455,,Sume datorate actionarilor/asociatilor,P
,4551,,Actionari/Asociati - conturi curente (P),P
,4551.01,,Actionari/asociati - conturi curente - LEI,P
,4551.02,,Actionari/asociati - conturi curente - VALUTA,P
,4558,,Actionari/Asociati - dobânzi la conturi curente (P,P
,4558.01,,LEI_Actionari/Asociati - dobânzi la conturi curent,P
,4558.02,,EURO_Actionari/Asociati - dobânzi la conturi cureP,P
,456,,Decontari cu actionarii/asociatii privind capitalu,B
,457,,Dividende de plata (P),P
,458,,Decontari din operatiuni in participatie,P
,4581,,Decontari din operatiuni in participatie - pasiv (,P
,4582,,Decontari din operatiuni in participatie - activ (,A
,46,,Debitori si creditori diversi,P
,461,,Debitori diversi (A),A
,461.20,,Garantie SGR achizitii,A
,462,,Creditori diversi (P),P
,462.01,,Creditori diversi,P
,462.20,,Garantie SGR vanzari,P
,462.21,,Creditori diversi-cedarea folosintei bunurilor,P
,462.22,,Creditori diversi-drepturi de autor,P
,463,,Creante reprezentand dividende repartizate in curs,A
,467,,Datorii aferente distribuirilor interimare de divi,P
,47,,"Conturi de subventii, regularizare si asimilate",P
,471,,Cheltuieli inregistrate in avans (A),A
,471.01,,Chelt in avans - asigurari,A
,471.02,,Chelt in avans - licente transport,A
,471.03,,Cheltuieli in avans - rovignete,A
,471.04,,Cheltuieli in avans-taxe locale,A
,471.05,,Alte cheltuieli in avans,A
,471.06,,Cheltuieli in avans-program de contabilitate,A
,471.07,,cheltuieli in avans - CERTIFICATUL DIGISIGN,A
,472,,Venituri inregistrate in avans (P),P
,473,,Decontari din operatiuni in curs de clarificare (A,B
,473.01,,TVA DE RAMBURSAT,B
,473.02,,CALENDY,B
,475,,Subventii pentru investitii,P
,4751,,Subventii guvernamentale pentru investitii (P),P
,4752,,Imprumuturi nerambursabile cu caracter de subventi,P
,4753,,Donatii pentru investitii (P),P
,4754,,Plusuri de inventar de natura imobilizarilor (P),P
,4758,,Alte sume primite cu caracter de subventii pentru,P
,478,,Venituri in avans aferente activelor primite prin,P
,48,,Decontari in cadrul unitatii,P
,481,,Decontari intre unitate si subunitati (A/P),B
,482,,Decontari intre subunitati (A/P),B
,49,,Ajustari pentru deprecierea creantelor,P
,491,,Ajustari pentru deprecierea creantelor - clienti (,P
,495,,Ajustari pentru deprecierea creantelor - decontari,P
,496,,Ajustari pentru deprecierea creantelor - debitori,P
,5,,Conturi de trezorerie,A
,50,,Investitii pe termen scurt,A
,501,,Actiuni detinute la entitatile afiliate (A),A
,505,,Obligatiuni emise si rascumparate (A),A
,506,,Obligatiuni (A),A
,507,,Certificate verzi primite (A),A
,508,,Alte investitii pe termen scurt si creante asimila,A
,5081,,Alte titluri de plasament (A),A
,5088,,Dobânzi la obligatiuni si titluri de plasament (A),A
,509,,Varsaminte de efectuat pentru investitiile pe term,A
,5091,,Varsaminte de efectuat pentru actiunile detinute l,P
,5092,,Varsaminte de efectuat pentru alte investitii pe t,P
,51,,Conturi la banci,A
,511,,Valori de incasat,A
,5112,,Cecuri de incasat (A),A
,5113,,Efecte de incasat (A),A
,5114,,Efecte remise spre scontare (A),A
,512,,Conturi curente la banci,A
,5121,,Conturi la banci in lei (A),B
,5121.01,,Conturi la banci in lei,A
,5121.06,,Banca Compensari,A
,5124,,Conturi la banci in valuta (A),A
,5124.01,,BANCA EURO,A
,5124.02,,BANCA LIRA,A
,5124.03,,BANCA DOLAR,A
,5124.04,,BANCA FRANC,A
,5124.20,,CARD EURO,A
,5124.30,,DEPOZITE EURO,A
,5124.40,,GARANTII DE BUNA EXECUTIE EURO,A
,5124.50,,DISPONIBIL CREDITE EURO,A
,5124.60,,COMPENSARI VALUTA,A
,5125,,Sume in curs de decontare (A),B
,5126,,Conturi la banci in lei - TVA defalcat (A),A
,5127,,Conturi la banci in valuta - TVA defalcat (A),A
,518,,Dobânzi,A
,5186,,Dobânzi de platit (P),P
,5187,,Dobânzi de incasat (A),A
,519,,Credite bancare pe termen scurt,A
,5191,,Credite bancare pe termen scurt (P),P
,5191.01,,LINIE DE CREDIT LEI,P
,5191.02,,LINIE DE CREDIT EURO,P
,5191.03,,LINIE DE CREDIT LIRA,P
,5191.04,,LINIE DE CREDIT DOLAR,P
,5191.05,,LINIE DE CREDIT FRANC,P
,5192,,Credite bancare pe termen scurt nerambursate la sc,P
,5193,,Credite externe guvernamentale (P),P
,5194,,Credite externe garantate de stat (P),P
,5195,,Credite externe garantate de banci (P),P
,5196,,Credite de la Trezoreria Statului (P),P
,5197,,Credite interne garantate de stat (P),P
,5198,,Dobânzi aferente creditelor bancare pe termen scur,P
,53,,Casa,A
,531,,Casa,A
,5311,,Casa in lei (A),A
,5314,,Casa in valuta (A),A
,5314.01,,CASA IN DEVIZE-EURO,A
,5314.02,,CASA IN DEVIZE-LIRA,A
,5314.03,,CASA IN DEVIZE-DOLAR,A
,5314.04,,CASA IN DEVIZE-FRANC,A
,532,,Alte valori,A
,5321,,Timbre fiscale si postale (A),A
,5322,,Bilete de tratament si odihna (A),A
,5323,,Tichete si bilete de calatorie (A),A
,5328,,Alte valori (A),A
,54,,Acreditive,A
,541,,Acreditive,A
,5411,,Acreditive in lei (A),A
,5414,,Acreditive in valuta (A),A
,542,,Avansuri de trezorerie (A),A
,58,,Viramente interne,A
,581,,Viramente interne (A/P),B
,59,,Ajustari pentru pierderea de valoare a conturilor,A
,591,,Ajustari pentru pierderea de valoare a actiunilor,P
,595,,Ajustari pentru pierderea de valoare a obligatiuni,P
,596,,Ajustari pentru pierderea de valoare a obligatiuni,P
,598,,Ajustari pentru pierderea de valoare a altor inves,P
,6,,Conturi de cheltuieli,A
,60,,Cheltuieli privind stocurile,A
,601,,Cheltuieli cu materiile prime,A
,602,,Cheltuieli cu materialele consumabile,A
,6021,,Cheltuieli cu materialele auxiliare,A
,6021.01,,Cheltuieli cu materialele auxiliare-deductibil,A
,6021.02,,Cheltuieli cu materialele auxiliare-nedeductibil,A
,6022,,Cheltuieli privind combustibilii,A
,6022.01,,Chelt.combustibili-deductibil,A
,6022.02,,Chelt.combustibili-nedeductibil,A
,6023,,Cheltuieli privind materialele pentru ambalat,A
,6024,,Cheltuieli privind piesele de schimb,A
,6024.01,,Cheltuieli privind piesele de schimb-deductibil,A
,6024.02,,Cheltuieli privind piesele de schimb-nedeductibil,A
,6025,,Cheltuieli privind semintele si materialele de pla,A
,6026,,Cheltuieli privind furajele,A
,6028,,Cheltuieli privind alte materiale consumabile,A
,6028.01,,Cheltuieli privind alte materiale consumabile,A
,603,,Cheltuieli privind materialele de natura obiectelo,A
,604,,Cheltuieli privind materialele nestocate,A
,604.01,,Cheltuieli privind materialele nestocate-deductibi,A
,604.02,,Cheltuieli privind materialele nestocate-nededucti,A
,605,,Cheltuieli privind utilitatile,A
,6051,,Cheltuieli privind consumul de energie,A
,6051.01,,Cheltuieli privind consumul de energie,A
,6052,,Cheltuieli privind consumul de apa,A
,6052.01,,Cheltuieli privind consumul de apa,A
,6053,,Cheltuieli privind consumul de gaze naturale,A
,6053.01,,Cheltuieli privind consumul de gaze naturale,A
,6058,,Cheltuieli cu alte utilitati,A
,606,,Cheltuieli privind activele biologice de natura st,A
,607,,Cheltuieli privind marfurile,A
,608,,Cheltuieli privind ambalajele,A
,609,,Reduceri comerciale primite,A
,609.01,,Reduceri comerciale primite,A
,61,,Cheltuieli cu serviciile executate de terti,A
,611,,Cheltuieli cu intretinerea si reparatiile,A
,611.01,,CHELTUIELI CU REPARATIILE DED FISCAL,A
,611.02,,CHELT CU REPARATIILE NEDED FISCAL,A
,612,,"Cheltuieli cu redeventele, locatiile de gestiune s",A
,6121,,Cheltuieli cu redeventele,A
,6122,,Cheltuieli cu locatiile de gestiune,A
,6123,,Cheltuieli cu chiriile,A
,6123.01,,Cheltuieli cu chiriile-deductibile fiscal,A
,6123.02,,Cheltuieli cu chiriile-nedeductibile fiscal,A
,613,,Cheltuieli cu primele de asigurare,A
,613.01,,Cheltuieieli cu primele de asigurare_deductibil,A
,613.02,,Cheltuieieli cu primele de asigurare_nedeductibil,A
,614,,Cheltuieli cu studiile si cercetarile,A
,615,,Cheltuieli cu pregatirea personalului,A
,616,,Cheltuieli aferente drepturilor de proprietate int,A
,617,,Cheltuieli de management,A
,618,,Cheltuieli de consultanta,A
,62,,Cheltuieli cu alte servicii executate de terti,A
,621,,Cheltuieli cu colaboratorii,A
,622,,Cheltuieli privind comisioanele si onorariile,A
,622.01,,Cheltuieli comisioanele _ded fiscal,A
,622.02,,Cheltuieli comisioanele _neded fiscal,A
,623,,"Cheltuieli de protocol, reclama si publicitate",A
,6231,,Cheltuieli de protocol (A),A
,6231.01,,Cheltuieli de protocol-deductibile,A
,6231.02,,Cheltuieli de protocol -Nedeductibil,A
,6232,,Cheltuieli de reclama si publicitate (A),A
,624,,Cheltuieli cu transportul de bunuri si personal,A
,625,,"Cheltuieli cu deplasari, detasari si transferari",A
,626,,Cheltuieli postale si taxe de telecomunicatii,A
,626.01,,Cheltuieli postale si taxe de telecomunicatii,A
,627,,Cheltuieli cu serviciile bancare si asimilate,A
,628,,Alte cheltuieli cu serviciile executate de terti,A
,628.01,,Prestari servicii directe,A
,628.02,,PRESTARI SERVICII DIRECTE NEDEDUCTIBILE,A
,63,,"Cheltuieli cu alte impozite, taxe si varsaminte as",A
,635,,"Cheltuieli cu alte impozite, taxe si varsaminte as",A
,635.01,,"Cheltuieli cu alte impozite, taxe si varsaminte as",A
,635.02,,"Cheltuieli cu alte impozite, taxe si varsaminte as",A
,64,,Cheltuieli cu personalul,A
,641,,Cheltuieli cu salariile personalului,A
,642,,Cheltuieli cu avantajele in natura si tichetele ac,A
,6421,,Cheltuieli cu avantajele in natura acordate salari,A
,6422,,Cheltuieli cu tichetele acordate salariatilor,A
,643,,Cheltuieli cu remunerarea in instrumente de capita,A
,644,,Cheltuieli cu primele reprezentând participarea pe,A
,645,,Cheltuieli privind asigurarile si protectia social,A
,6451,,Cheltuieli privind contributia unitatii la asigura,A
,6452,,Cheltuieli privind contributia unitatii pentru aju,A
,6453,,Cheltuieli privind contributia angajatorului pentr,A
,6455,,Cheltuieli privind contributia unitatii la asigura,A
,6456,,Cheltuieli privind contributia unitatii la fonduri,A
,6457,,Cheltuieli privind contributia unitatii la primele,A
,6458,,Alte cheltuieli privind asigurarile si protectia s,A
,6458.20,,Premii acordate salariatilor de sarbatori (P),P
